Order,Long,Lat
28160,-71.557057,-29.544894
28159,-71.55559,-29.546654
28158,-71.55559,-29.548414
28157,-71.555883,-29.548708
28156,-71.557643,-29.548708
28155,-71.55823,-29.547828
28154,-71.55911,-29.548708
28153,-71.56087,-29.548708
28152,-71.561164,-29.548414
28151,NA,NA
28150,-71.362856,-29.410831
28149,-71.362856,-29.409951
28148,-71.362563,-29.409658
28147,-71.361683,-29.409658
28146,-71.360802,-29.408778
28145,-71.357576,-29.408778
28144,-71.356989,-29.409071
28143,-71.356989,-29.409951
28142,-71.359336,-29.412005
28141,-71.361683,-29.412005
28140,-71.362856,-29.410831
28139,NA,NA
28138,-71.542095,-29.230125
28137,-71.542095,-29.228365
28136,-71.540922,-29.227191
28135,-71.539162,-29.227191
28134,-71.538869,-29.227485
28133,-71.538869,-29.230125
28132,-71.539162,-29.230418
28131,-71.541802,-29.230418
28130,-71.542095,-29.230125
28129,NA,NA
28128,-71.307119,-29.595938
28127,-71.307119,-29.595058
28126,-71.306825,-29.594471
28125,-71.305945,-29.594471
28124,-71.303892,-29.596525
28123,-71.303892,-29.597405
28122,-71.304185,-29.597991
28121,-71.305065,-29.597991
28120,-71.307119,-29.595938
28119,NA,NA
28118,-71.559697,-29.585964
28117,-71.559697,-29.585084
28116,-71.557643,-29.58303
28115,-71.556763,-29.58303
28114,-71.556176,-29.582444
28113,-71.55647,-29.581563
28112,-71.554123,-29.57951
28111,-71.553536,-29.57951
28110,-71.552363,-29.578923
28109,-71.550896,-29.578923
28108,-71.549136,-29.577163
28107,-71.547669,-29.577163
28106,-71.546202,-29.578337
28105,-71.546202,-29.580097
28104,-71.547083,-29.580977
28103,-71.547083,-29.581563
28102,-71.546202,-29.582444
28101,-71.546202,-29.583324
28100,-71.546789,-29.58391
28099,-71.548256,-29.58391
28098,-71.549723,-29.585084
28097,-71.549723,-29.58655
28096,-71.550896,-29.588017
28095,-71.551776,-29.588017
28094,-71.553243,-29.589484
28093,-71.555003,-29.589484
28092,-71.555883,-29.590364
28091,-71.557643,-29.590364
28090,-71.557937,-29.590071
28089,-71.557937,-29.588311
28088,-71.558817,-29.587431
28087,-71.558817,-29.58655
28086,-71.559697,-29.585964
28085,NA,NA
28084,-71.592846,-29.040911
28083,-71.592846,-29.038271
28082,-71.590499,-29.035924
28081,-71.590499,-29.034164
28080,-71.590792,-29.033871
28079,-71.591672,-29.033871
28078,-71.592846,-29.032697
28077,-71.592846,-29.030057
28076,-71.591966,-29.029177
28075,-71.591966,-29.028297
28074,-71.590499,-29.02683
28073,-71.590499,-29.02595
28072,-71.589912,-29.025364
28071,-71.589326,-29.025364
28070,-71.588445,-29.024483
28069,-71.587565,-29.024483
28068,-71.586685,-29.023603
28067,-71.585805,-29.023897
28066,-71.584925,-29.023017
28065,-71.583458,-29.023017
28064,-71.582578,-29.022137
28063,-71.581698,-29.022137
28062,-71.580818,-29.021257
28061,-71.578471,-29.021257
28060,-71.576711,-29.019496
28059,-71.574364,-29.019496
28058,-71.571724,-29.022137
28057,-71.570844,-29.022137
28056,-71.569964,-29.023017
28055,-71.567617,-29.023017
28054,-71.566444,-29.02419
28053,-71.566151,-29.02683
28052,-71.567031,-29.027417
28051,-71.567031,-29.030937
28050,-71.566444,-29.031817
28049,-71.566444,-29.034164
28048,-71.565564,-29.035044
28047,-71.56527,-29.038271
28046,-71.565857,-29.038858
28045,-71.566737,-29.038858
28044,-71.567617,-29.039445
28043,-71.569377,-29.039445
28042,-71.571724,-29.042085
28041,-71.572604,-29.042085
28040,-71.573484,-29.042965
28039,-71.574364,-29.042965
28038,-71.574951,-29.042085
28037,-71.575831,-29.042085
28036,-71.577591,-29.040325
28035,-71.579351,-29.042085
28034,-71.579938,-29.042085
28033,-71.581698,-29.043845
28032,-71.582578,-29.043845
28031,-71.583458,-29.044725
28030,-71.585805,-29.044725
28029,-71.587272,-29.043258
28028,-71.587272,-29.040911
28027,-71.587565,-29.040325
28026,-71.589032,-29.042085
28025,-71.589912,-29.042085
28024,-71.590792,-29.042965
28023,-71.591672,-29.042965
28022,-71.591966,-29.042671
28021,-71.591966,-29.041791
28020,-71.592846,-29.040911
28019,NA,NA
28018,-71.505426,-29.003362
28017,-71.505426,-29.002482
28016,-71.505133,-29.002189
28015,-71.503373,-29.002189
28014,-71.503079,-29.002482
28013,-71.503079,-29.004242
28012,-71.503373,-29.004535
28011,-71.504253,-29.004535
28010,-71.505426,-29.003362
28009,NA,NA
28008,-71.490465,-29.264154
28007,-71.490465,-29.260927
28006,-71.489585,-29.260047
28005,-71.489585,-29.257407
28004,-71.485771,-29.253887
28003,-71.484891,-29.253887
28002,-71.484305,-29.253007
28001,-71.482545,-29.253007
28000,-71.481664,-29.252126
27999,-71.479904,-29.252126
27998,-71.479318,-29.251246
27997,-71.476677,-29.251246
27996,-71.475797,-29.250366
27995,-71.473451,-29.250366
27994,-71.471984,-29.251833
27993,-71.471984,-29.25418
27992,-71.475504,-29.257407
27991,-71.475504,-29.259167
27990,-71.474624,-29.260047
27989,-71.474624,-29.262394
27988,-71.475797,-29.263861
27987,-71.476677,-29.263861
27986,-71.477558,-29.264741
27985,-71.478438,-29.264447
27984,-71.479318,-29.265327
27983,-71.479904,-29.265327
27982,-71.480784,-29.266207
27981,-71.481664,-29.266207
27980,-71.482545,-29.267088
27979,-71.485771,-29.267088
27978,-71.486652,-29.266207
27977,-71.488412,-29.266207
27976,-71.490465,-29.264154
27975,NA,NA
27974,-71.51628,-29.179961
27973,-71.51628,-29.178495
27972,-71.515987,-29.177908
27971,-71.514227,-29.177908
27970,-71.513933,-29.178495
27969,-71.513933,-29.180841
27968,-71.514227,-29.181135
27967,-71.515107,-29.181135
27966,-71.51628,-29.179961
27965,NA,NA
27964,-71.360509,-29.930949
27963,-71.358456,-29.928895
27962,-71.357576,-29.928895
27961,-71.356989,-29.929188
27960,-71.356989,-29.930068
27959,-71.359336,-29.932122
27958,-71.360509,-29.930949
27957,NA,NA
27956,-71.337921,-29.475956
27955,-71.337921,-29.475076
27954,-71.337627,-29.474782
27953,-71.335867,-29.474489
27952,-71.335574,-29.475076
27951,-71.335574,-29.475956
27950,-71.335867,-29.476249
27949,-71.337627,-29.476249
27948,-71.337921,-29.475956
27947,NA,NA
27946,-71.535348,-29.232472
27945,-71.535055,-29.232178
27944,-71.531828,-29.232178
27943,-71.531241,-29.231592
27942,-71.531241,-29.230125
27941,-71.533882,-29.227485
27940,-71.533882,-29.226605
27939,-71.532415,-29.225431
27938,-71.530948,-29.225431
27937,-71.528601,-29.227485
27936,-71.528895,-29.228365
27935,-71.527428,-29.229538
27934,-71.525961,-29.229538
27933,-71.524494,-29.231005
27932,-71.524494,-29.233352
27931,-71.524201,-29.233645
27930,-71.523321,-29.233645
27929,-71.521267,-29.235699
27928,-71.521267,-29.238339
27927,-71.522441,-29.239512
27926,-71.523321,-29.239512
27925,-71.525081,-29.238045
27924,-71.528308,-29.238045
27923,-71.529481,-29.236579
27922,-71.529481,-29.235112
27921,-71.530068,-29.234525
27920,-71.534175,-29.234525
27919,-71.534468,-29.234232
27918,-71.534468,-29.233352
27917,-71.535348,-29.232472
27916,NA,NA
27915,-71.418887,-29.999887
27914,-71.418887,-29.9993
27913,-71.419473,-29.99842
27912,-71.419473,-29.99666
27911,-71.41918,-29.996367
27910,-71.41742,-29.996367
27909,-71.416833,-29.995486
27908,-71.414193,-29.995486
27907,-71.411553,-29.992846
27906,-71.409206,-29.992846
27905,-71.408326,-29.991966
27904,-71.407446,-29.99226
27903,-71.407152,-29.991673
27902,-71.407152,-29.988446
27901,-71.405099,-29.986393
27900,-71.403339,-29.986393
27899,-71.402459,-29.987273
27898,-71.400699,-29.986979
27897,-71.400112,-29.987859
27896,-71.398352,-29.987859
27895,-71.397472,-29.988739
27894,-71.396005,-29.988739
27893,-71.395125,-29.989619
27892,-71.394245,-29.989619
27891,-71.393365,-29.990499
27890,-71.392485,-29.990499
27889,-71.391018,-29.991966
27888,-71.390138,-29.991966
27887,-71.388671,-29.990793
27886,-71.388671,-29.988446
27885,-71.386324,-29.985806
27884,-71.386324,-29.984926
27883,-71.385151,-29.983752
27882,-71.382511,-29.983752
27881,-71.380457,-29.981699
27880,-71.380457,-29.979352
27879,-71.379577,-29.978472
27878,-71.380457,-29.977592
27877,-71.380457,-29.976712
27876,-71.381337,-29.975832
27875,-71.381337,-29.971725
27874,-71.380164,-29.970551
27873,-71.378404,-29.970551
27872,-71.377817,-29.969965
27871,-71.377817,-29.968205
27870,-71.375177,-29.965564
27869,-71.374297,-29.965271
27868,-71.373417,-29.964684
27867,-71.372537,-29.964684
27866,-71.371657,-29.965564
27865,-71.370777,-29.965564
